,game_id,rated,turns,victory_status,winner,moves,opening_eco,opening_classification,opening_name,opening_ply,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,white_wins,black_wins,draw,win_by_mate,win_by_resign,win_by_outoftime
0,HgKLWPsz,FALSE,39,mate,white,"['e3', 'e6', 'd4', 'd6', 'Bd3', 'c6', 'Nf3', 'Be7', 'Nc3', 'Nf6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e6,d4,d6,Bd3,c6,Nf3,Be7,Nc3,Nf6,1,0,0,1,0,0
1,wNK2HdLb,TRUE,58,mate,black,"['a4', 'e5', 'h4', 'd5', 'b3', 'Nc6', 'e3', 'Bf5', 'Bb5', 'Ne7']",A00,Polish (Sokolsky)  opening,Crab Opening,3,a4,e5,h4,d5,b3,Nc6,e3,Bf5,Bb5,Ne7,0,1,0,1,0,0
2,t7vvcwqO,TRUE,96,resign,black,"['g3', 'e5', 'e4', 'Nf6', 'Bg2', 'Bc5', 'a3', 'a5', 'Nc3', 'd6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,e4,Nf6,Bg2,Bc5,a3,a5,Nc3,d6,0,1,0,0,1,0
3,facMwkUo,TRUE,39,mate,white,"['e3', 'e6', 'Qf3', 'Nf6', 'Nc3', 'Nc6', 'Nb5', 'a6', 'Nd4', 'Nxd4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e6,Qf3,Nf6,Nc3,Nc6,Nb5,a6,Nd4,Nxd4,1,0,0,1,0,0
4,GstYv2mJ,FALSE,28,mate,black,"['h4', 'e5', 'a4', 'd5', 'b4', 'Nc6', 'b5', 'Na5', 'g4', 'a6']",A00,Polish (Sokolsky)  opening,Crab Opening,3,h4,e5,a4,d5,b4,Nc6,b5,Na5,g4,a6,0,1,0,1,0,0
5,ejaSwZEr,TRUE,24,resign,white,"['e3', 'd5', 'c4', 'e6', 'Nf3', 'Nf6', 'Qb3', 'b6', 'cxd5', 'exd5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,d5,c4,e6,Nf3,Nf6,Qb3,b6,cxd5,exd5,1,0,0,0,1,0
6,R5SfPQiB,TRUE,114,mate,black,"['g3', 'Nf6', 'Bg2', 'd5', 'e3', 'c5', 'd4', 'Nc6', 'dxc5', 'e5']",A00,Polish (Sokolsky)  opening,Hungarian Opening: Indian Defense,2,g3,Nf6,Bg2,d5,e3,c5,d4,Nc6,dxc5,e5,0,1,0,1,0,0
7,lTOKfWMv,TRUE,48,resign,black,"['e3', 'd5', 'd3', 'Nc6', 'Nf3', 'e5', 'Nc3', 'Be6', 'Be2', 'h6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,d5,d3,Nc6,Nf3,e5,Nc3,Be6,Be2,h6,0,1,0,0,1,0
8,pMcUNK5E,FALSE,78,mate,black,"['g3', 'e5', 'e3', 'd5', 'Bg2', 'Nf6', 'Ne2', 'c5', 'd3', 'Nc6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,e3,d5,Bg2,Nf6,Ne2,c5,d3,Nc6,0,1,0,1,0,0
9,jVXtr42v,TRUE,65,resign,white,"['b4', 'e5', 'Bb2', 'Bxb4', 'Bxe5', 'Nf6', 'Nf3', 'O-O', 'e3', 'Nc6']",A00,Polish (Sokolsky)  opening,Polish Opening,1,b4,e5,Bb2,Bxb4,Bxe5,Nf6,Nf3,O-O,e3,Nc6,1,0,0,0,1,0
10,WtFUCKgj,TRUE,20,resign,black,"['e3', 'e5', 'b3', 'Nc6', 'Bb5', 'd5', 'Bxc6+', 'bxc6', 'Bb2', 'Bd6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,b3,Nc6,Bb5,d5,Bxc6+,bxc6,Bb2,Bd6,0,1,0,0,1,0
11,sl4N6t22,TRUE,124,resign,black,"['b4', 'e5', 'b5', 'd5', 'Bb2', 'Qd6', 'Nf3', 'Nd7', 'h3', 'a6']",A00,Polish (Sokolsky)  opening,Polish Opening,1,b4,e5,b5,d5,Bb2,Qd6,Nf3,Nd7,h3,a6,0,1,0,0,1,0
12,AEIBxJhK,TRUE,11,mate,white,"['e3', 'e5', 'Bc4', 'Ne7', 'Qf3', 'f5', 'e4', 'g6', 'g4', 'fxe4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Bc4,Ne7,Qf3,f5,e4,g6,g4,fxe4,1,0,0,1,0,0
13,o5ZRUXrY,TRUE,78,resign,black,"['e3', 'e5', 'Nf3', 'd6', 'd4', 'Nd7', 'e4', 'Ngf6', 'c3', 'Nxe4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Nf3,d6,d4,Nd7,e4,Ngf6,c3,Nxe4,0,1,0,0,1,0
14,RHqtUgcA,TRUE,59,resign,black,"['e3', 'c5', 'g3', 'Nc6', 'Bg2', 'g6', 'Ne2', 'Bg7', 'O-O', 'Nf6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,c5,g3,Nc6,Bg2,g6,Ne2,Bg7,O-O,Nf6,0,1,0,0,1,0
15,7DyaFpEQ,TRUE,50,mate,black,"['g3', 'e5', 'Bg2', 'Nf6', 'Nc3', 'Bc5', 'd3', 'Ng4', 'e3', 'Bxe3']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,Nf6,Nc3,Bc5,d3,Ng4,e3,Bxe3,0,1,0,1,0,0
16,J2JnXESd,TRUE,52,resign,black,"['e3', 'e5', 'g3', 'Nc6', 'Bg2', 'Nf6', 'Nc3', 'Bc5', 'd3', 'd6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,g3,Nc6,Bg2,Nf6,Nc3,Bc5,d3,d6,0,1,0,0,1,0
17,o8It5NwS,FALSE,47,resign,white,"['h3', 'e5', 'a3', 'd5', 'd3', 'd4', 'Nf3', 'Nc6', 'e4', 'f5']",A00,Polish (Sokolsky)  opening,Creepy Crawly Formation: Classical Defense,4,h3,e5,a3,d5,d3,d4,Nf3,Nc6,e4,f5,1,0,0,0,1,0
18,lUfS2I5H,FALSE,76,mate,black,"['h3', 'e5', 'a3', 'd5', 'd3', 'Nf6', 'Nc3', 'Nc6', 'Bg5', 'Be7']",A00,Polish (Sokolsky)  opening,Creepy Crawly Formation: Classical Defense,4,h3,e5,a3,d5,d3,Nf6,Nc3,Nc6,Bg5,Be7,0,1,0,1,0,0
19,XLvG0Fxw,TRUE,51,resign,white,"['h3', 'e5', 'a3', 'Nf6', 'e3', 'd5', 'Nc3', 'a6', 'd4', 'exd4']",A00,Polish (Sokolsky)  opening,Global Opening,3,h3,e5,a3,Nf6,e3,d5,Nc3,a6,d4,exd4,1,0,0,0,1,0
20,IhPROx4l,TRUE,40,resign,black,"['d3', 'c5', 'Be3', 'd6', 'd4', 'cxd4', 'Qxd4', 'Nc6', 'Qd5', 'e6']",A00,Polish (Sokolsky)  opening,Mieses Opening,1,d3,c5,Be3,d6,d4,cxd4,Qxd4,Nc6,Qd5,e6,0,1,0,0,1,0
21,wwF013vq,TRUE,48,resign,black,"['b4', 'e5', 'a4', 'd5', 'Nc3', 'Bxb4', 'Ba3', 'd4', 'Ne4', 'Bxa3']",A00,Polish (Sokolsky)  opening,Polish Opening,1,b4,e5,a4,d5,Nc3,Bxb4,Ba3,d4,Ne4,Bxa3,0,1,0,0,1,0
22,XwMJo8Hb,TRUE,74,mate,black,"['g3', 'e5', 'Bg2', 'd5', 'b3', 'Nc6', 'Bb2', 'Nf6', 'Nc3', 'Be6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,d5,b3,Nc6,Bb2,Nf6,Nc3,Be6,0,1,0,1,0,0
23,wQrRnpIt,TRUE,50,mate,black,"['e3', 'e5', 'Nf3', 'Nc6', 'd4', 'd5', 'dxe5', 'Bg4', 'h4', 'Nxe5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Nf3,Nc6,d4,d5,dxe5,Bg4,h4,Nxe5,0,1,0,1,0,0
